ID,Nombre,Descripcion ES,Descripcion ENU,artwork-hero_full-artwork-image,artwork-image,og:url,Precio,Estado,Colleccion,P ML,P SAATCHI
orbitals-01,Orbit Field,"Verdes profundos, negros densos y líneas circulares que sugieren movimiento interno.","Deep greens, dense blacks, and circular lines suggesting internal movement.",/images/ORBITALS/IMG_6980.JPEG,Orbitals_01_framed,orbitals-01-orbit-field.html,,,,,
orbitals-02,Blue Structure,"Una pieza fría y arquitectónica, con capas azules y trazos que cruzan como rutas.","A cool, architectural piece with blue layers and crossing strokes like pathways.",/images/ORBITALS/IMG_6926.JPEG,Orbitals_02_framed,orbitals-02-blue-structure.html,,,,,
orbitals-03,Green Atmosphere,"Una composición envolvente en verde y violeta, con círculos translúcidos y tensión suave.",An immersive composition in green and violet with translucent circles and soft tension.,/images/ORBITALS/IMG_6969.JPEG,Orbitals_03_framed,orbitals-03-green-atmosphere.html,,,,,
orbitals-04,Magenta Signal,"Magenta oscuro, transparencias y trazos luminosos sobre una superficie vibrante.","Dark magenta, transparency, and luminous strokes on a vibrant surface.",/images/ORBITALS/IMG_7046.JPEG,Orbitals_04_framed,orbitals-04-magenta-signal.html,,,,,
orbitals-05,Deep Blue Orbit,Azules y verdes en capas con un gesto circular central que organiza la composición.,Layered blues and greens with a central circular gesture organizing the composition.,/images/ORBITALS/IMG_6925.JPEG,Orbitals_05_framed,orbitals-05-deep-blue-orbit.html,,,,,
orbitals-06,Cosmic Route,"Una pieza más dinámica, con azules, naranjas y círculos que recuerdan mapas o constelaciones.","A dynamic piece with blues, oranges, and circles resembling maps or constellations.",/images/ORBITALS/IMG_6908.JPEG,Orbitals_06_framed,orbitals-06-cosmic-route.html,,,,,
orbitals-07,Violet Gravity,Negros y violetas profundos con formas circulares que flotan como campos de energía.,Deep blacks and violets with circular forms floating like energy fields.,/images/ORBITALS/IMG_6930.JPEG,Orbitals_07_framed,orbitals-07-violet-gravity.html,,,,,
orbitals-08,Green Core,"Una obra de centro fuerte, casi ritual, con verdes intensos, blanco y acentos naranja.","A strong-centered, almost ritual piece with intense greens, white, and orange accents.",/images/ORBITALS/IMG_6976.JPEG,Orbitals_08_framed,orbitals-08-green-core.html,,,,,
orbitals-09,Hidden Garden,Capas oscuras y verdes con círculos claros que emergen como señales bajo la superficie.,Dark and green layers with light circles emerging like signals beneath the surface.,/images/ORBITALS/IMG_6985.JPEG,Orbitals_09_framed,orbitals-09-hidden-garden.html,,,,,
orbitals-10,Urban Bloom,"Una composición intensa con trazos violetas, verdes y naranjas sobre una base oscura.","An intense composition with violet, green, and orange strokes over a dark base.",/images/ORBITALS/IMG_6987.JPEG,Orbitals_10_framed,orbitals-10-urban-bloom.html,,,,,
flow-01,First Current,"Una obra de flujo amplio, marcada por capas y movimiento visual extendido.",A wide-flow piece marked by layers and extended visual movement.,/images/FLOW/IMG_7726.PNG,flow01,flow-01-first-current.html,,,,,
flow-02,Open Movement,"Textura, expansión y profundidad para una lectura más atmosférica.","Texture, expansion, and depth for a more atmospheric reading.",/images/FLOW/IMG_7727.PNG,flow02,flow-02-open-movement.html,,,,,
flow-03,Surface Drift,Capas dinámicas que crean una sensación de desplazamiento continuo.,Dynamic layers creating a sense of continuous drift.,/images/FLOW/IMG_7728.PNG,flow03,flow-03-surface-drift.html,,,,,
flow-04,Soft Pulse,"Una pieza más íntima, con ritmo controlado y contrastes sutiles.",A more intimate piece with controlled rhythm and subtle contrasts.,/images/FLOW/IMG_7734.JPEG,flow04,flow-04-soft-pulse.html,,,,,
flow-05,Last Wave,"El cierre de la serie Flow, con presencia visual directa y energía de transición.","The closing piece of the Flow series, with direct presence and transitional energy.",/images/FLOW/IMG_7735.JPEG,flow05,flow-05-last-wave.html,,,,,
deco-01,Room Accent,Una obra pensada para generar presencia en espacios modernos sin perder textura.,A piece designed to create presence in modern spaces without losing texture.,/images/DECO/IMG_7708.JPEG,Deco01Framed,deco-01-room-accent.html,,,,,
deco-02,Wall Rhythm,"Movimiento visual y balance para integrarse en sala, estudio o recibidor.","Visual movement and balance to integrate into living rooms, studios, or entryways.",/images/DECO/IMG_7710.JPEG,Deco02Framed,deco-02-wall-rhythm.html,,,,,
deco-03,Interior Signal,Una pieza con lenguaje abstracto claro y lectura decorativa inmediata.,A piece with clear abstract language and immediate decorative appeal.,/images/DECO/IMG_7715.JPEG,Deco03Framed,deco-03-interior-signal.html,,,,,
deco-04,Modern Layer,"Capas, contraste y composición para un estilo contemporáneo y sobrio.","Layers, contrast, and composition for a contemporary and refined style.",/images/DECO/IMG_7716.JPEG,Deco04Framed,deco-04-modern-layer.html,,,,,
deco-05,Collected Space,Una obra ideal para cerrar la colección como set o como pieza individual.,An ideal piece to complete the collection as a set or stand-alone work.,/images/DECO/IMG_7721.JPEG,Deco05Framed,deco-05-collected-space.html,,,,,
deco-06,Structured Chaos,Una composición donde la geometría y el trazo libre conviven en tensión constante.,A composition where geometry and free strokes coexist in constant tension.,/images/DECO/IMG_8094.JPEG,Deco06Framed,deco-06-structured-chaos.html,,,,,
deco-07,Industrial Pulse,Texturas densas y líneas eléctricas evocan movimiento dentro de una estructura rígida.,Dense textures and electric lines evoke movement within a rigid structure.,/images/DECO/IMG_8095.JPEG,Deco07Framed,deco-07-Industrial-Pulse,,,,,
deco-08,Soft Boundaries,Capas suaves delimitadas por trazos que sugieren orden dentro de lo orgánico.,Soft layers defined by strokes suggesting order within the organic.,/images/DECO/IMG_8096.JPEG,Deco08Framed,deco-08-soft-boundaries.html,,,,,
deco-09,Flow State,"Una pieza que fluye sin interrupciones, guiando la mirada a través de energía continua.","A piece that flows without interruption, guiding the eye through continuous energy.",/images/DECO/IMG_8097.JPEG,Deco09Framed,deco-09-flow-state.html,,,,,
deco-10,Echo Patterns,Repeticiones orgánicas que construyen ritmo visual y profundidad en cada capa.,Organic repetitions build visual rhythm and layered depth.,/images/DECO/IMG_8098.JPEG,Deco10Framed,deco-10-echo-patterns.html,,,,,
